second_artist_name;second_artist_followers
Aitana;3247796.0
;
;
;
benny blanco;1406516.0
Bad Bunny;93568573.0
Mora;7086795.0
Pitbull;11470108.0
;
;
Romeo Santos;24933625.0
La Pantera;87221.0
De La Rose;743757.0
Bad Gyal;2017734.0
;
TORRRES;43062.0
Rels B;9273481.0
Bad Gyal;2017734.0
Paulo Londra;25243758.0
;
;
Kapo;603102.0
Laura Pausini;2743122.0
;
;
;
;
Pomme;751140.0
De La Rose;743757.0
Feid;16810752.0
Bruno Mars;70257982.0
Bruno Mars;70257982.0
;
;
Kapo;603102.0
Myke Towers;19494913.0
Sin Nombre;24238.0
;
ATL Jacob;110700.0
;
;
Sky Rompiendo;358931.0
;
;
Yung Beef;615112.0
Rauw Alejandro;27695008.0
;
Youka;49484.0
;
Sech;12083107.0
;
;
;
Anuel AA;41467306.0
;
;
Axolotes Mexicanos;35659.0
;
;
Kidd Keo;2985228.0
;
;
;
Morad;4060399.0
;
;
;
;
;
Emilia;4440440.0
JC Reyes;1204706.0
Yorghaki;106678.0
;
Manuel Turizo;14901856.0
;
Cris Mj;5684230.0
Beny Jr;1784075.0
Cris Mj;5684230.0
;
Lasso;991132.0
;
JC Reyes;1204706.0
;
Manuel Turizo;14901856.0
Rels B;9273481.0
;
;
Manuel Turizo;14901856.0
Feid;16810752.0
;
Bad Bunny;93568573.0
;
;
;
FloyyMenor;1639288.0
;
Feid;16810752.0
Rvfv;865888.0
;
Peso Pluma;20679819.0
